Sp  Age     0     1     2  Tot sp      0     1     2  T.Sit 0       0     1     2  T.Sit 1  Disp.Med.  Cant.Disp.
 0  211  3276  3433  3810   10519   1966  2385  2718    7069     1310  1048  1092    3450              0           0
 0  212  6465  3167  3542   13174   3662  2205  2531    8398     2803   962  1011    4776              0           0
 0  213  5211  3731  4165   13107   2844  2555  2987    8386     2367  1176  1178    4721             19        2578
 0  214  3783  3767  4095   11645   2150  2545  2945    7640     1633  1222  1150    4005             20        2148
 0  215  3215  3428  3767   10410   1955  2323  2724    7002     1260  1105  1043    3408              0           0
 0  216  6490  3154  3455   13099   3688  2150  2491    8329     2802  1004   964    4770              0           0
 0  217  5273  3730  4022   13025   2902  2530  2869    8301     2371  1200  1153    4724             20        2625
 0  218  3864  3771  3947   11582   2195  2537  2813    7545     1669  1234  1134    4037             19        2240
 0  219  3251  3486  3660   10397   2008  2358  2613    6979     1243  1128  1047    3418              0           0
 0  220  6464  3213  3396   13073   3705  2192  2444    8341     2759  1021   952    4732              0           0
 0  221  5163  3804  4012   12979   2865  2595  2879    8339     2298  1209  1133    4640             19        2516
 0  222  3796  3776  4021   11593   2184  2594  2879    7657     1612  1182  1142    3936             19        2168
 0  223  3240  3463  3710   10413   1989  2403  2661    7053     1251  1060  1049    3360              0           0
 0  224  6402  3177  3455   13034   3683  2204  2508    8395     2719   973   947    4639              0           0
 0  225  5208  3717  4095   13020   2933  2571  2955    8459     2275  1146  1140    4561             19        2623
 0  226  3812  3750  4028   11590   2251  2554  2910    7715     1561  1196  1118    3875             21        2205
 0  227  3224  3456  3725   10405   2049  2365  2702    7116     1175  1091  1023    3289              0           0
 0  228  6424  3180  3463   13067   3717  2185  2515    8417     2707   995   948    4650              0           0
 0  229  5240  3739  4101   13080   2857  2577  2942    8376     2383  1162  1159    4704             21        2618
 0  230  3852  3808  4044   11704   2136  2620  2910    7666     1716  1188  1134    4038             19        2262
 0  231  3300  3492  3733   10525   1966  2408  2683    7057     1334  1084  1050    3468              0           0
 0  232  6420  3207  3482   13109   3617  2230  2510    8357     2803   977   972    4752              0           0
 0  233  5198  3785  4133   13116   2866  2605  2968    8439     2332  1180  1165    4677             21        2600
 0  234  3802  3812  4063   11677   2184  2619  2897    7700     1618  1193  1166    3977             20        2208
 0  235  3260  3503  3745   10508   2002  2426  2682    7110     1258  1077  1063    3398              0           0
 0  236  6467  3222  3511   13200   3660  2227  2520    8407     2807   995   991    4793              0           0
 0  237  5239  3758  4186   13183   2871  2573  2986    8430     2368  1185  1200    4753             19        2644
 0  238  3826  3783  4150   11759   2185  2598  2970    7753     1641  1185  1180    4006             20        2165
 0  239  3286  3478  3808   10572   2011  2398  2734    7143     1275  1080  1074    3429              0           0
 0  240  6406  3204  3520   13130   3646  2216  2527    8389     2760   988   993    4741              0           0
 0  241  5178  3817  4102   13097   2794  2625  2946    8365     2384  1192  1156    4732             19        2537
 0  242  3766  3815  4071   11652   2138  2624  2904    7666     1628  1191  1167    3986             20        2231
 0  243  3219  3501  3768   10488   1962  2407  2700    7069     1257  1094  1068    3419              0           0
 0  244  6383  3221  3513   13117   3669  2216  2522    8407     2714  1005   991    4710              0           0
 0  245  5204  3757  4153   13114   2803  2557  2978    8338     2401  1200  1175    4776             20        2565
 0  246  3764  3779  4115   11658   2109  2555  2940    7604     1655  1224  1175    4054             20        2231
 0  247  3165  3480  3804   10449   1930  2358  2704    6992     1235  1122  1100    3457              0           0
 0  248  6495  3239  3547   13281   3715  2202  2524    8441     2780  1037  1023    4840              0           0
 0  249  5352  3709  4172   13233   2856  2572  2947    8375     2496  1137  1225    4858             19        2554
 0  250  3883  3673  4166   11722   2191  2550  2925    7666     1692  1123  1241    4056             20        2198
 0  251  3323  3378  3840   10541   2016  2354  2701    7071     1307  1024  1139    3470              0           0
 0  252  6422  3081  3546   13049   3647  2147  2505    8299     2775   934  1041    4750              0           0
 0  253  5195  3690  4126   13011   2814  2577  2903    8294     2381  1113  1223    4717             20        2484
 0  254  3759  3724  4092   11575   2140  2561  2869    7570     1619  1163  1223    4005             21        2221
 0  255  3218  3413  3759   10390   1972  2359  2632    6963     1246  1054  1127    3427              0           0
 0  256  6342  3124  3484   12950   3662  2175  2445    8282     2680   949  1039    4668              0           0
 0  257  5260  3723  4085   13068   2895  2559  2891    8345     2365  1164  1194    4723             19        2601
 0  258  3889  3740  4047   11676   2206  2566  2856    7628     1683  1174  1191    4048             20        2270
 0  259  3316  3450  3744   10510   2026  2383  2642    7051     1290  1067  1102    3459              0           0
 0  260  6574  3185  3495   13254   3737  2207  2470    8414     2837   978  1025    4840              0           0
 0  261  5343  3779  4119   13241   2874  2592  2934    8400     2469  1187  1185    4841             19        2539
 0  262  3825  3831  4046   11702   2130  2618  2865    7613     1695  1213  1181    4089             19        2282
 0  263  3228  3511  3746   10485   1944  2412  2649    7005     1284  1099  1097    3480              0           0
 0  264  6420  3238  3477   13135   3646  2234  2465    8345     2774  1004  1012    4790              0           0
 0  265  5261  3796  4102   13159   2828  2602  2899    8329     2433  1194  1203    4830             21        2607
 0  266  3823  3753  4078   11654   2163  2560  2883    7606     1660  1193  1195    4048             20        2155
 0  267  3236  3448  3758   10442   1974  2365  2672    7011     1262  1083  1086    3431              0           0
 0  268  6403  3145  3494   13042   3680  2171  2491    8342     2723   974  1003    4700              0           0
 0  269  5267  3738  4112   13117   2856  2589  2935    8380     2411  1149  1177    4737             20        2571
 0  270  3767  3754  4086   11607   2145  2600  2916    7661     1622  1154  1170    3946             19        2124
 0  271  3264  3447  3775   10486   1989  2404  2711    7104     1275  1043  1064    3382              0           0
 0  272  6445  3171  3521   13137   3704  2211  2532    8447     2741   960   989    4690              0           0
 0  273  5266  3767  4143   13176   2860  2631  2985    8476     2406  1136  1158    4700             20        2684
 0  274  3796  3775  4107   11678   2153  2616  2954    7723     1643  1159  1153    3955             20        2146
 0  275  3197  3442  3787   10426   1959  2407  2710    7076     1238  1035  1077    3350              0           0
 0  276  6337  3180  3517   13034   3673  2240  2519    8432     2664   940   998    4602              0           0
 0  277  5156  3718  4115   12989   2823  2607  2957    8387     2333  1111  1158    4602             20        2488
 0  278  3752  3696  4075   11523   2116  2587  2917    7620     1636  1109  1158    3903             21        2142
 0  279  3238  3397  3760   10395   1963  2400  2690    7053     1275   997  1070    3342              0           0
 0  280  6438  3129  3487   13054   3695  2223  2503    8421     2743   906   984    4633              0           0
 0  281  5175  3705  4108   12988   2822  2604  2977    8403     2353  1101  1131    4585             19        2519
 0  282  3765  3684  4080   11529   2135  2572  2949    7656     1630  1112  1131    3873             20        2138
 0  283  3220  3421  3766   10407   1960  2403  2740    7103     1260  1018  1026    3304              0           0
 0  284  6400  3137  3516   13053   3689  2204  2575    8468     2711   933   941    4585              0           0
 0  285  5201  3730  4113   13044   2885  2604  3008    8497     2316  1126  1105    4547             20        2564
 0  286  3782  3772  4060   11614   2172  2626  2949    7747     1610  1146  1111    3867             20        2152
 0  287  3241  3476  3740   10457   2009  2441  2721    7171     1232  1035  1019    3286              0           0
 0  288  6494  3222  3471   13187   3755  2278  2545    8578     2739   944   926    4609              0           0
 0  289  5077  3791  4094   12962   2826  2633  2991    8450     2251  1158  1103    4512             20        2534
 0  290  3719  3756  4060   11535   2159  2616  2967    7742     1560  1140  1093    3793             20        2127
 0  291  3200  3439  3734   10373   1984  2405  2745    7134     1216  1034   989    3239              0           0
 0  292  6305  3189  3483   12977   3680  2242  2560    8482     2625   947   923    4495              0           0
 0  293  5032  3760  4080   12872   2760  2644  2995    8399     2272  1116  1085    4473             19        2536
 0  294  3709  3683  4048   11440   2131  2563  2954    7648     1578  1120  1094    3792             20        2150
 0  295  3159  3383  3726   10268   1933  2366  2731    7030     1226  1017   995    3238              0           0
 0  296  6241  3092  3455   12788   3572  2178  2542    8292     2669   914   913    4496              0           0
 0  297  5006  3660  4055   12721   2786  2558  2988    8332     2220  1102  1067    4389             20        2477
 0  298  3642  3631  4044   11317   2138  2515  2978    7631     1504  1116  1066    3686             21        2117
 0  299  3107  3328  3725   10160   1956  2314  2745    7015     1151  1014   980    3145              0           0
 0  300  6320  3068  3468   12856   3729  2145  2572    8446     2591   923   896    4410              0           0
